ID,MISSION_ID,MISSION_NAME,PARENT_SITE_ID,DISPLAY_NAME,VEHICLE_NAME,KIND,SOURCE_KIND,STATUS,LATITUDE_DEGREES,LONGITUDE_EAST_DEGREES,COORDINATE_UNCERTAINTY_M,RADIAL_DISTANCE_M,ARRIVAL_DATE,LOCATION_QUALITY,COORDINATE_SOURCE,RADIUS_SOURCE,COSPAR_ID,GCAT_ID,OWNER,COUNTRY,REFERENCES,DISPLAY_RANK,SITE_REPRESENTATIVE,CREWED_MISSION
apollo-12-a12-lm,apollo-12,Apollo 12,apollo-12-site-01,A12 LM,Intrepid,crewed_artifact,"Descent stage of Lunar Module ""Intrepid""",deployed,-3.0128,-23.4219,2.2,1735977.76,1969-11-19,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1969-099C,D00293,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,1,1,1
apollo-12-a12-alsep,apollo-12,Apollo 12,apollo-12-site-01,A12 ALSEP,,deployed_instrument,ALSEP Central Station,deployed,-3.0098,-23.4248,2.2,1735977.7,1969-11-19,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1969-099,D00300,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,4,0,1
apollo-12-a12-pse,apollo-12,Apollo 12,apollo-12-site-01,A12 PSE,,deployed_instrument,Passive Seismic Experiment,deployed,-3.0099,-23.4249,2.6,1735977.41,1969-11-19,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1969-099,D00300,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,4,0,1
apollo-12-a12-lmas,apollo-12,Apollo 12,apollo-12-site-02,A12 LMAS,Intrepid,impact_site,Lunar module ascent stage impact site,impacted,-3.9195,-21.1721,10,1736314.727,1969-11-20,confirmed,NAC DTM,NAC DTM,1969-U02,D01055,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2019.05.002 | https://planet4589.org/space/gcat/root.html,5,1,1
apollo-13-a13-sivb,apollo-13,Apollo 13,apollo-13-site-01,A13 SIVB,,rocket_stage,Saturn V S-IVB impact site,impacted,-2.555,-27.8875,9.8,1736234.4,1970-04-15,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1970-029B,D00323,MSFC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.pss.2016.01.002 | https://planet4589.org/space/gcat/root.html,6,1,1
luna-16-luna-16,luna-16,Luna 16,luna-16-site-01,Luna 16,Luna-16,lander,Lander,landed,-0.5137,56.3638,3.7,1734948.09,1970-09-12,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1970-072A,D00334,IKI,SU,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,0,1,0
luna-17-luna-17,luna-17,Luna 17,luna-17-site-01,Luna 17,Luna-17,lander,Lander,landed,38.23764,-35.00163,0.5,1734928.785,1970-11-10,confirmed,Averaged Mapping Orbit NACs + Laser Ranging,NAC DTM + Laser Ranging,1970-095A,D00342,IKI,SU,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,0,1,0
luna-17-lunokhod-1,luna-17,Luna 17,luna-17-site-01,Lunokhod 1,Lunokhod-1,rover,Retroreflector: Lunokhod 1 rover,landed,38.3151705,-35.0079815,0,1734928.585,1970-11-10,confirmed,Laser Ranging,Laser Ranging,1970-095,D00344,IKI,SU,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/planets/de430_moon_coord.pdf | https://planet4589.org/space/gcat/root.html,2,0,0
apollo-14-a14-sivb,apollo-14,Apollo 14,apollo-14-site-02,A14 SIVB,,rocket_stage,Saturn V S-IVB impact site,impacted,-8.181,-26.0305,4.5,1735618.8,1971-02-04,confirmed,Averaged NACs,SLDEM,1971-008B,D00358,MSFC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.pss.2016.01.002 | https://planet4589.org/space/gcat/root.html,6,1,1
apollo-14-a14-lm,apollo-14,Apollo 14,apollo-14-site-01,A14 LM,Antares,crewed_artifact,"Descent stage of Lunar Module ""Antares""",deployed,-3.64589,-17.47194,0.4,1736337.964,1971-02-05,confirmed,Averaged Mapping Orbit NACs + Laser Ranging,NAC DTM + Laser Ranging,1971-008C,D00348,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,1,1,1
apollo-14-a14-lrrr,apollo-14,Apollo 14,apollo-14-site-01,A14 LRRR,,retroreflector,Retroreflector,deployed,-3.6441667,-17.4786481,0,1736335.734,1971-02-05,confirmed,Laser Ranging,Laser Ranging,1971-008,D00354,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/planets/de430_moon_coord.pdf | https://planet4589.org/space/gcat/root.html,3,0,1
apollo-14-a14-alsep,apollo-14,Apollo 14,apollo-14-site-01,A14 ALSEP,,deployed_instrument,ALSEP Central Station,deployed,-3.64419,-17.47768,0.4,1736336.163,1971-02-05,confirmed,Averaged Mapping Orbit NACs + Laser Ranging,NAC DTM + Laser Ranging,1971-008,D00354,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,4,0,1
apollo-14-a14-pse,apollo-14,Apollo 14,apollo-14-site-01,A14 PSE,,deployed_instrument,Passive Seismic Experiment,deployed,-3.64408,-17.47767,0.4,1736336.191,1971-02-05,confirmed,Averaged Mapping Orbit NACs + Laser Ranging,NAC DTM + Laser Ranging,1971-008,D00354,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,4,0,1
apollo-15-a15-sivb,apollo-15,Apollo 15,apollo-15-site-02,A15 SIVB,,rocket_stage,Saturn V S-IVB impact site,impacted,-1.2897,-11.8245,3.8,1736290.97,1971-07-29,confirmed,Averaged NACs,NAC DTM,1971-063B,D00399,MSFC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.pss.2016.01.002 | https://planet4589.org/space/gcat/root.html,6,1,1
apollo-15-a15-lm,apollo-15,Apollo 15,apollo-15-site-01,A15 LM,Falcon,crewed_artifact,"Descent stage of Lunar Module ""Falcon""",deployed,26.13239,3.6333,1,1735468.715,1971-07-30,confirmed,Averaged Mapping Orbit NACs + Laser Ranging,NAC DTM + Laser Ranging,1971-063C,D00385,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,1,1,1
apollo-15-a15-lrv,apollo-15,Apollo 15,apollo-15-site-01,A15 LRV,,rover,Lunar Roving Vehicle,landed,26.13174,3.63803,0.5,1735472.343,1971-07-30,confirmed,Averaged Mapping Orbit NACs + Laser Ranging,NAC DTM + Laser Ranging,1971-063,D00388,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,2,0,1
apollo-15-a15-lrrr,apollo-15,Apollo 15,apollo-15-site-01,A15 LRRR,,retroreflector,Retroreflector,deployed,26.133405,3.6285011,0,1735476.972,1971-07-30,confirmed,Laser Ranging,Laser Ranging,1971-063,D00393,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/planets/de430_moon_coord.pdf | https://planet4589.org/space/gcat/root.html,3,0,1
apollo-15-a15-alsep,apollo-15,Apollo 15,apollo-15-site-01,A15 ALSEP,,deployed_instrument,ALSEP Central Station,deployed,26.13406,3.62991,0.5,1735475.985,1971-07-30,confirmed,Averaged Mapping Orbit NACs + Laser Ranging,NAC DTM + Laser Ranging,1971-063,D00393,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,4,0,1
apollo-15-a15-pse,apollo-15,Apollo 15,apollo-15-site-01,A15 PSE,,deployed_instrument,Passive Seismic Experiment,deployed,26.13411,3.6298,0.3,1735475.953,1971-07-30,confirmed,Averaged Mapping Orbit NACs + Laser Ranging,NAC DTM + Laser Ranging,1971-063,D00393,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,4,0,1
luna-20-luna-20,luna-20,Luna 20,luna-20-site-01,Luna 20,Luna-20,lander,Lander,landed,3.7863,56.6242,4.3,1735620.18,1972-02-14,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1972-007E,D00427,IKI,SU,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,0,1,0
apollo-16-a16-sivb,apollo-16,Apollo 16,apollo-16-site-02,A16 SIVB,,rocket_stage,Saturn V S-IVB impact site,impacted,1.9213,-24.6231,11.2,1736301.1,1972-04-19,confirmed,Averaged NACs,SLDEM,1972-031B,D00441,MSFC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.pss.2016.01.002 | https://planet4589.org/space/gcat/root.html,6,1,1
apollo-16-a16-lm,apollo-16,Apollo 16,apollo-16-site-01,A16 LM,Orion,crewed_artifact,"Descent stage of Lunar Module ""Orion""",deployed,-8.9734,15.5011,3,1737408.35,1972-04-21,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1972-031C,D00442,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,1,1,1
apollo-16-a16-lrv,apollo-16,Apollo 16,apollo-16-site-01,A16 LRV,,rover,Lunar Roving Vehicle,landed,-8.9729,15.5037,3.7,1737409.61,1972-04-21,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1972-031,D00450,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,2,0,1
apollo-16-a16-alsep,apollo-16,Apollo 16,apollo-16-site-01,A16 ALSEP,,deployed_instrument,ALSEP Central Station,deployed,-8.9759,15.4986,3,1737411.96,1972-04-21,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1972-031,D00456,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,4,0,1
apollo-16-a16-pse,apollo-16,Apollo 16,apollo-16-site-01,A16 PSE,,deployed_instrument,Passive Seismic Experiment,deployed,-8.9759,15.4986,2.5,1737411.93,1972-04-21,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1972-031,D00456,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,4,0,1
apollo-17-a17-sivb,apollo-17,Apollo 17,apollo-17-site-02,A17 SIVB,,rocket_stage,Saturn V S-IVB impact site,impacted,-4.1681,-12.3307,5.6,1736193.94,1972-12-10,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1972-096B,D00475,MSFC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.pss.2016.01.002 | https://planet4589.org/space/gcat/root.html,6,1,1
apollo-17-a17-lm,apollo-17,Apollo 17,apollo-17-site-01,A17 LM,Challenger,crewed_artifact,"Descent stage of Lunar Module ""Challenger""",deployed,20.1911,30.7723,3.5,1734773.72,1972-12-11,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1972-096C,D00464,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,1,1,1
apollo-17-a17-lrv,apollo-17,Apollo 17,apollo-17-site-01,A17 LRV,,rover,Lunar Roving Vehicle,landed,20.1896,30.7769,3.2,1734771.89,1972-12-11,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1972-096,D00465,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,2,0,1
apollo-17-a17-alsep,apollo-17,Apollo 17,apollo-17-site-01,A17 ALSEP,,deployed_instrument,ALSEP Central Station,deployed,20.1923,30.7655,3.5,1734777.57,1972-12-11,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1972-096,D00465,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,4,0,1
apollo-17-a17-sep,apollo-17,Apollo 17,apollo-17-site-01,A17 SEP,,deployed_instrument,Surface Electrical Properties experiment,deployed,20.192,30.7768,3.7,1734773.2,1972-12-11,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1972-096,D00465,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,4,0,1
luna-21-luna-21,luna-21,Luna 21,luna-21-site-01,Luna 21,Luna-21,lander,Lander,landed,25.9994,30.4076,13.4,1734720.29,1973-01-08,confirmed,Averaged NACs,NAC DTM,1973-001A,D00482,IKI,SU,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,0,1,0
luna-21-lunokhod-2,luna-21,Luna 21,luna-21-site-01,Lunokhod 2,Lunokhod-2,rover,Retroreflector: Lunokhod 2 rover,landed,25.8323185,30.9221468,0,1734638.662,1973-01-08,confirmed,Laser Ranging,Laser Ranging,1973-001,D00486,IKI,SU,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/planets/de430_moon_coord.pdf | https://planet4589.org/space/gcat/root.html,2,0,0
luna-23-luna-23,luna-23,Luna 23,luna-23-site-01,Luna 23,Luna-23,lander,Lander,landed,12.6667,62.1511,3,1733731.83,1974-10-28,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1974-084A,D00522,IKI,SU,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,0,1,0
luna-24-luna-24,luna-24,Luna 24,luna-24-site-01,Luna 24,Luna-24,lander,Lander,landed,12.7142,62.2129,3.7,1733730.14,1976-08-09,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1976-081A,D00566,IKI,SU,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,0,1,0
lcross-lcross,lcross,LCROSS,lcross-site-01,LCROSS,LCROSS (Lunar Crater Observation and Sensing Satellite),impact_site,Spacecraft impact site,impacted,-84.678,-48.6937,10,1733566.95,2009-10-09,confirmed,ShadowCam DTM,ShadowCam DTM,2009-031C,D00887,ARC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1029/2024GL110355 | https://planet4589.org/space/gcat/root.html,5,1,0
grail-grail-a,grail,GRAIL,grail-site-01,GRAIL-A,Ebb,impact_site,Spacecraft impact site,impacted,75.6088,-26.594,10.7,1738150.37,2012-12-17,confirmed,Averaged NACs,NAC DTM,2011-046A,D00909,GSFC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/596 | https://planet4589.org/space/gcat/root.html,5,1,0
grail-grail-b,grail,GRAIL,grail-site-01,GRAIL-B,Flow,impact_site,Spacecraft impact site,impacted,75.6508,-26.8341,12.2,1738438.61,2012-12-17,confirmed,Averaged NACs,NAC DTM,2011-046B,D00910,GSFC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/596 | https://planet4589.org/space/gcat/root.html,5,0,0
chang-e-3-chang-e-3,chang-e-3,Chang'e 3,chang-e-3-site-01,Chang'e 3,Chang'E-3,lander,Lander,landed,44.1214,-19.5117,9.1,1734770.36,2013-12-14,confirmed,Averaged NACs,NAC DTM,2013-070A,D00934,CASC,CN,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/637 | https://planet4589.org/space/gcat/root.html,0,1,0
chang-e-3-yutu-rover,chang-e-3,Chang'e 3,chang-e-3-site-01,Yutu Rover,Yutu,rover,Yutu Rover,landed,44.1208,-19.5122,12.9,1734769.5,2013-12-14,confirmed,Averaged NACs,NAC DTM,2013-070,D00936,CASC,CN,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/637 | https://planet4589.org/space/gcat/root.html,2,0,0
